B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
1952,79400,42,011,010100,2021,ACS 2021
1758,77535,42,011,010201,2021,ACS 2021
2193,68568,42,011,010202,2021,ACS 2021
1079,86518,42,011,010302,2021,ACS 2021
756,85978,42,011,010303,2021,ACS 2021
1939,100492,42,011,010304,2021,ACS 2021
519,65256,42,011,010401,2021,ACS 2021
2420,77245,42,011,010402,2021,ACS 2021
2413,77555,42,011,010500,2021,ACS 2021
1196,56282,42,011,010601,2021,ACS 2021
2263,113194,42,011,010602,2021,ACS 2021
1151,74472,42,011,010701,2021,ACS 2021
1714,96346,42,011,010702,2021,ACS 2021
753,84688,42,011,010801,2021,ACS 2021
2292,80317,42,011,010803,2021,ACS 2021
1230,122155,42,011,010804,2021,ACS 2021
1579,72344,42,011,010902,2021,ACS 2021
2335,98631,42,011,010903,2021,ACS 2021
1482,88846,42,011,010904,2021,ACS 2021
1976,74009,42,011,010905,2021,ACS 2021
1940,72143,42,011,011000,2021,ACS 2021
1311,53958,42,011,011101,2021,ACS 2021
2352,135000,42,011,011102,2021,ACS 2021
1828,50978,42,011,011200,2021,ACS 2021
1114,72410,42,011,011300,2021,ACS 2021
2276,62713,42,011,011400,2021,ACS 2021
1151,75027,42,011,011500,2021,ACS 2021
2239,75460,42,011,011601,2021,ACS 2021
1656,88387,42,011,011602,2021,ACS 2021
2435,89345,42,011,011603,2021,ACS 2021
1726,112813,42,011,011702,2021,ACS 2021
1442,93750,42,011,011703,2021,ACS 2021
972,87969,42,011,011704,2021,ACS 2021
1796,81260,42,011,011705,2021,ACS 2021
2209,71776,42,011,011800,2021,ACS 2021
1411,101438,42,011,011902,2021,ACS 2021
1728,131682,42,011,011903,2021,ACS 2021
1111,105625,42,011,011905,2021,ACS 2021
1771,76664,42,011,011906,2021,ACS 2021
1014,47566,42,011,012001,2021,ACS 2021
799,122793,42,011,012003,2021,ACS 2021
